,activity,x-accel,y-accel,z-accel,y-gyr,z-gyr
176,0.0,0.02625,-0.00275,0.07025,0.2,0.13
177,0.0,-0.01375,0.01125,0.0275,0.09,-0.07
178,0.0,-0.00575,0.004,0.05525,0.2,0.12
179,0.0,-0.01375,0.01125,0.0275,0.09,-0.07
180,0.0,0.014,0.008,0.04975,0.2,0.12
181,0.0,-0.01375,0.01125,0.0275,0.09,-0.07
182,0.0,0.014,0.008,0.04975,0.2,0.12
183,0.0,-0.01375,0.01125,0.0275,0.09,-0.07
184,0.0,-0.0025,0.0,0.05975,0.2,0.12
185,0.0,-0.01375,0.01125,0.0275,0.09,-0.07
186,0.0,0.01575,-0.008,0.06275,0.2,0.11
187,0.0,-0.01375,0.01125,0.0275,0.09,-0.07
188,0.0,0.012,-0.014,0.02225,0.2,0.11
189,0.0,-0.01375,0.01125,0.0275,0.09,-0.07
190,0.0,0.012,-0.014,0.02225,0.2,0.11
191,0.0,-0.01375,0.01125,0.0275,0.09,-0.07
192,0.0,-0.008,0.00975,0.03625,0.2,0.11
193,0.0,-0.01375,0.01125,0.0275,0.09,-0.07
194,0.0,0.014,0.005,0.04925,0.2,0.11
195,0.0,-0.01375,0.01125,0.0275,0.09,-0.07
196,0.0,0.0,-0.0045,0.06725,0.2,0.11
197,0.0,-0.01375,0.01125,0.0275,0.09,-0.07
198,0.0,-0.00975,0.0085,0.06975,0.21,0.1
199,0.0,-0.01375,0.01125,0.0275,0.09,-0.07
200,0.0,0.00875,-0.00325,0.07125,0.21,0.1
201,0.0,-0.011,-0.00725,0.05375,0.06,-0.06
202,0.0,-0.01175,0.00825,0.06575,0.21,0.1
203,0.0,-0.011,-0.00725,0.05375,0.06,-0.06
204,0.0,-0.00075,0.0015,0.04075,0.21,0.11
205,0.0,-0.011,-0.00725,0.05375,0.06,-0.06
206,0.0,-0.00075,0.0015,0.04075,0.21,0.11
207,0.0,-0.011,-0.00725,0.05375,0.06,-0.06
208,0.0,0.0055,0.0055,0.04025,0.21,0.11
209,0.0,-0.011,-0.00725,0.05375,0.06,-0.06
210,0.0,0.02375,-0.0125,0.03875,0.21,0.1
211,0.0,-0.011,-0.00725,0.05375,0.06,-0.06
212,0.0,0.03575,-0.023,0.03425,0.22,0.1
213,0.0,-0.011,-0.00725,0.05375,0.06,-0.06
214,0.0,-0.00675,0.00125,0.01925,0.22,0.1
215,0.0,-0.011,-0.00725,0.05375,0.06,-0.06
216,0.0,-0.00675,0.00125,0.01925,0.22,0.1
217,0.0,-0.011,-0.00725,0.05375,0.06,-0.06
218,0.0,-0.0145,-0.00925,0.0055,0.21,0.11
219,0.0,-0.011,-0.00725,0.05375,0.06,-0.06
220,0.0,-0.01875,0.00825,-0.011,0.2,0.11
221,0.0,-0.011,-0.00725,0.05375,0.06,-0.06
222,0.0,-0.0475,-0.004,0.0245,0.2,0.11
223,0.0,-0.011,-0.00725,0.05375,0.06,-0.06
224,0.0,0.017,0.001,0.03725,0.18,0.11
225,0.0,0.216,0.10325,0.221,0.14,-0.11
226,0.0,0.017,0.001,0.03725,0.18,0.11
227,0.0,0.216,0.10325,0.221,0.14,-0.11
228,0.0,0.00225,0.0005,0.08825,0.18,0.1
229,0.0,0.216,0.10325,0.221,0.14,-0.11
230,0.0,0.00025,0.013,0.09425,0.17,0.09
231,0.0,0.216,0.10325,0.221,0.14,-0.11
232,0.0,0.00025,0.013,0.09425,0.17,0.09
233,0.0,0.216,0.10325,0.221,0.14,-0.11
234,0.0,-0.01525,-0.02975,0.0625,0.17,0.09
235,0.0,0.216,0.10325,0.221,0.14,-0.11
236,0.0,0.00225,-0.0105,0.11225,0.17,0.09
237,0.0,0.216,0.10325,0.221,0.14,-0.11
238,0.0,0.00225,-0.0105,0.11225,0.17,0.09
239,0.0,0.216,0.10325,0.221,0.14,-0.11
240,0.0,-0.009,0.0205,0.06725,0.17,0.09
241,0.0,0.216,0.10325,0.221,0.14,-0.11
242,0.0,0.001,0.01575,0.03175,0.17,0.11
243,0.0,0.00625,-0.1535,-0.02475,0.1,-0.05
244,0.0,0.001,0.01575,0.03175,0.17,0.11
245,0.0,0.00625,-0.1535,-0.02475,0.1,-0.05
246,0.0,0.004,0.0085,0.06125,0.17,0.11
247,0.0,0.00625,-0.1535,-0.02475,0.1,-0.05
248,0.0,0.0045,0.0035,0.04575,0.17,0.11
249,0.0,0.00625,-0.1535,-0.02475,0.1,-0.05
250,0.0,-0.00325,0.00225,0.03675,0.17,0.11
251,0.0,0.00625,-0.1535,-0.02475,0.1,-0.05
252,0.0,0.007,0.02,0.05425,0.18,0.11
253,0.0,0.00625,-0.1535,-0.02475,0.1,-0.05
254,0.0,0.007,0.02,0.05425,0.18,0.11
255,0.0,0.00625,-0.1535,-0.02475,0.1,-0.05
256,0.0,0.01575,-0.0055,0.04975,0.18,0.11
257,0.0,0.00625,-0.1535,-0.02475,0.1,-0.05
258,0.0,0.01575,-0.0055,0.04975,0.18,0.11
259,0.0,0.00625,-0.1535,-0.02475,0.1,-0.05
260,0.0,-0.00025,0.0085,0.03975,0.19,0.11
261,0.0,0.00625,-0.1535,-0.02475,0.1,-0.05
262,0.0,-0.00275,-0.003,0.02625,0.19,0.12
263,0.0,0.00625,-0.1535,-0.02475,0.1,-0.05
264,0.0,0.01175,0.0045,0.07225,0.19,0.11
265,0.0,0.00625,-0.1535,-0.02475,0.1,-0.05
266,0.0,0.01175,0.0045,0.07225,0.19,0.11
267,0.0,0.00625,-0.1535,-0.02475,0.1,-0.05
268,0.0,0.02275,-0.0155,0.05975,0.19,0.11
269,0.0,0.00625,-0.1535,-0.02475,0.1,-0.05
270,0.0,0.00825,0.01,0.09375,0.2,0.11
271,0.0,0.00625,-0.1535,-0.02475,0.1,-0.05
272,0.0,0.00925,-0.006,0.04775,0.2,0.1
273,0.0,0.0515,-0.02075,0.042,0.17,-0.15
274,0.0,0.009,0.0055,0.05725,0.2,0.09
275,0.0,0.0515,-0.02075,0.042,0.17,-0.15
276,0.0,0.01175,-0.0265,0.04625,0.2,0.08
277,0.0,0.0515,-0.02075,0.042,0.17,-0.15
278,0.0,0.009,-0.0085,0.03525,0.2,0.08
279,0.0,0.0515,-0.02075,0.042,0.17,-0.15
280,0.0,0.0005,-0.01475,0.01875,0.2,0.07
281,0.0,0.0515,-0.02075,0.042,0.17,-0.15
282,0.0,0.0005,-0.01475,0.01875,0.2,0.07
283,0.0,0.0515,-0.02075,0.042,0.17,-0.15
284,0.0,-0.0065,-0.00625,0.05225,0.2,0.06
