,activity,x-accel,y-accel,z-accel,y-gyr,z-gyr
189,0.0,0.0065,0.01825,0.04775,-0.05,0.52
190,0.0,-0.00675,-0.039,0.03425,-0.03,0.05
191,0.0,0.0065,0.01825,0.04775,-0.05,0.52
192,0.0,0.00625,-0.034,0.01425,-0.03,0.04
193,0.0,0.0065,0.01825,0.04775,-0.05,0.52
194,0.0,0.00625,-0.034,0.01425,-0.03,0.04
195,0.0,0.0065,0.01825,0.04775,-0.05,0.52
196,0.0,-0.00275,-0.0225,0.05575,-0.03,0.03
197,0.0,0.0035,0.012,0.0635,-0.05,0.51
198,0.0,-0.00725,-0.045,0.05875,-0.03,0.03
199,0.0,0.0035,0.012,0.0635,-0.05,0.51
200,0.0,0.01675,-0.016,0.02625,-0.03,0.03
201,0.0,0.0035,0.012,0.0635,-0.05,0.51
202,0.0,0.00125,-0.023,0.03025,-0.03,0.03
203,0.0,0.0035,0.012,0.0635,-0.05,0.51
204,0.0,0.00125,-0.023,0.03025,-0.03,0.03
205,0.0,0.0035,0.012,0.0635,-0.05,0.51
206,0.0,0.01175,-0.021,0.03775,-0.03,0.03
207,0.0,0.0035,0.012,0.0635,-0.05,0.51
208,0.0,0.01175,-0.021,0.03775,-0.03,0.03
209,0.0,0.0035,0.012,0.0635,-0.05,0.51
210,0.0,-0.01025,-0.028,0.04225,-0.03,0.03
211,0.0,0.0035,0.012,0.0635,-0.05,0.51
212,0.0,-0.008,0.0015,0.0585,-0.03,0.03
213,0.0,-0.0065,0.00675,0.0375,-0.05,0.5
214,0.0,-0.00025,-0.034,0.0355,-0.03,0.03
215,0.0,-0.0065,0.00675,0.0375,-0.05,0.5
216,0.0,-0.01775,-0.029,0.05425,-0.03,0.03
217,0.0,-0.0065,0.00675,0.0375,-0.05,0.5
218,0.0,-0.00725,-0.023,0.05975,-0.03,0.03
219,0.0,-0.0065,0.00675,0.0375,-0.05,0.5
220,0.0,0.00725,-0.0145,-0.00075,-0.03,0.02
221,0.0,-0.0065,0.00675,0.0375,-0.05,0.5
222,0.0,-0.00175,-0.022,0.05625,-0.03,0.02
223,0.0,-0.0065,0.00675,0.0375,-0.05,0.5
